nom;id;url;daily_price;weekly_price;description
CHARIOT TÉLESCOPIQUE ROTATIF, 21 M, 5 TONNES;13770;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques-rotatifs/chariot-telescopique-rotatif-21-m-5-tonnes;p.s.d.;p.s.d.;Stabilisateurs ciseaux et nivellement automatiqueDisponible avec nacelle, treuil, JIB avec treuil et fourches à palettesRotatif en continu à 360°
CHARIOT TÉLESCOPIQUE ROTATIF, 25 M, 5 TONNES;13771;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques-rotatifs/chariot-telescopique-rotatif-25-m-5-tonnes;p.s.d.;p.s.d.;Stabilisateurs ciseaux et nivellement automatiqueDisponible avec nacelle, treuil, JIB avec treuil et fourches à palettesRotatif en continu à 360°
CHARIOT TÉLESCOPIQUE ROTATIF, 18 M, 4 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques-rotatifs/chariot-telescopique-rotatif-18-m-4-tonnes;p.s.d.;p.s.d.;Stabilisateurs ciseaux et nivellement automatiqueDisponible avec nacelle, treuil, JIB avec treuil et fourches à palettesRotatif à 400°ONE CALL 070-22 28 18 (€ 0,15 p/min.)
CHARIOT TÉLESCOPIQUE ROTATIF, 30 M, 5 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques-rotatifs/chariot-telescopique-rotatif-30-m-5-tonnes;p.s.d.;p.s.d.;Stabilisateurs ciseaux et nivellement automatiqueDisponible avec nacelle, treuil, JIB avec treuil et fourches à palettesRotatif en continu à 360°ONE CALL 070-22 28 18 (€ 0,15 p/min.)
CHARIOT TÉLESCOPIQUE 4,25 M 1,25 TONNES;80175;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-425-m-125-tonnes;p.s.d.;p.s.d.;
CHARIOT TÉLESCOPIQUE 6 M 2,5 TONNES;13507;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-6-m-25-tonnes;p.s.d.;p.s.d.;Convient pour les terrains accidentés grâce aux 4 roues motricesLivré standard plateau à fourches inclusAvec moteur TIER4fi/ Stage 4
CHARIOT TÉLESCOPIQUE 7 M 3 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-7-m-3-tonnes;p.s.d.;p.s.d.;Un chariot télescopique conçu pour être utilisé partout. Ses dimensions compactes, sa grande maniabilité, sa robustesse et le confort pour le conducteur sont de série. Même dans les espaces les plus réduits, sur les surfaces les plus lisses et avec la charge la plus lourde, il ne vous décevra pas. Le profil bas du bras et le point de rotation bas du bras permettent, avec tous les rétroviseurs, une excellente visibilité arrière.
CHARIOT TÉLESCOPIQUE 9 M 3,5 TONNES;12063;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-9-m-35-tonnes;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclusDisponible avec moteur TIER4i / Stage 3B
CHARIOT TÉLESCOPIQUE 9,5 M 3,5 TONNES;13775;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-95-m-35-tonnes;p.s.d.;p.s.d.;
CHARIOT TÉLESCOPIQUE 10 M 6 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-10-m-6-tonnes;p.s.d.;p.s.d.;4 roues motrices pour terrain accidentéLivré standard plateau à fourches inclusONE CALL 070-22 28 18 (€ 0,15 p/min.)
